[25Jun2022 00:00:03.406] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:00:03.424] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:00:03.450] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:00:03.451] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:00:03.452] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:00:03.452] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:00:03.453] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:00:03.454] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:00:03.455] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
[25Jun2022 00:00:03.457] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:overworld_orbit
[25Jun2022 00:00:03.458] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus
[25Jun2022 00:00:03.459] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon_orbit
[25Jun2022 00:00:03.460] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon
[25Jun2022 00:00:03.462] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury_orbit
[25Jun2022 00:00:14.206] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:00:14.219] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:00:14.241] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:00:14.243] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:00:14.244] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:00:14.245] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:00:14.246] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:00:14.248] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:00:14.249] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
[25Jun2022 00:00:14.250] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:overworld_orbit
[25Jun2022 00:00:14.250] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus
[25Jun2022 00:00:14.253] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon_orbit
[25Jun2022 00:00:14.254] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon
